
==================== Starting Pipeline Iteration 0/10 ====================
--- Self-Play Stage (Model 0 -> Data 0) ---
=== Multi-process Self-Play Start ===
Workers: 8 | Total Episodes: 200 | MCTS Iters: 2000
----------------------------------------------------------------------
[Episode 145] Finished | Winner: Black (1) | Moves:  55 | Time: 351.8s
[Episode 159] Finished | Winner: Black (1) | Moves:  27 | Time: 214.5s
[Episode 166] Finished | Winner: White (2) | Moves:  20 | Time: 200.5s
[Episode 153] Finished | Winner: Black (1) | Moves:  35 | Time: 309.4s
[Episode 133] Finished | Winner: White (2) | Moves:  28 | Time: 254.4s
[Episode 126] Finished | Winner: Black (1) | Moves:  29 | Time: 266.5s
[Episode 169] Finished | Winner: Black (1) | Moves:  35 | Time: 289.9s
[Episode 139] Finished | Winner: Black (1) | Moves:  47 | Time: 354.4s
[Episode 154] Finished | Winner: Black (1) | Moves:  17 | Time: 161.9s
[Episode 176] Finished | Winner: Black (1) | Moves:  15 | Time: 156.7s
[Episode 146] Finished | Winner: White (2) | Moves:  46 | Time: 348.4s
[Episode 160] Finished | Winner: White (2) | Moves:  46 | Time: 328.6s
[Episode 183] Finished | Winner: Black (1) | Moves:  17 | Time: 166.4s
[Episode 167] Finished | Winner: White (2) | Moves:  42 | Time: 321.2s
[Episode 170] Finished | Winner: Black (1) | Moves:  19 | Time: 176.3s
[Episode 177] Finished | Winner: White (2) | Moves:  22 | Time: 218.3s
[Episode 140] Finished | Winner: Black (1) | Moves:  31 | Time: 282.8s
[Episode 184] Finished | Winner: White (2) | Moves:  26 | Time: 222.8s
[Episode 147] Finished | Winner: Black (1) | Moves:  31 | Time: 282.0s
[Episode 190] Finished | Winner: White (2) | Moves:  46 | Time: 350.0s
[Episode 171] Finished | Winner: Black (1) | Moves:  41 | Time: 253.6s
[Episode 168] Finished | Winner: White (2) | Moves:  50 | Time: 302.3s
[Episode 161] Finished | Winner: White (2) | Moves:  36 | Time: 320.3s
[Episode 178] Finished | Winner: Black (1) | Moves:  23 | Time: 183.0s
[Episode 185] Finished | Winner: White (2) | Moves:  22 | Time: 191.9s
[Episode 197] Finished | Winner: Black (1) | Moves:  37 | Time: 263.3s
[Episode 179] Finished | Winner: White (2) | Moves:  24 | Time: 220.9s
[Episode 191] Finished | Winner: Black (1) | Moves:  37 | Time: 312.9s
[Episode 172] Finished | Winner: White (2) | Moves:  46 | Time: 297.0s
[Episode 198] Finished | Winner: Black (1) | Moves:  25 | Time: 219.6s
[Episode 186] Finished | Winner: White (2) | Moves:  62 | Time: 278.7s
[Episode 180] Finished | Winner: Black (1) | Moves:  25 | Time: 196.9s
[Episode 173] Finished | Winner: Black (1) | Moves:  21 | Time: 176.1s
[Episode 192] Finished | Winner: Black (1) | Moves:  47 | Time: 339.3s
[Episode 181] Finished | Winner: White (2) | Moves:  22 | Time: 213.7s
[Episode 199] Finished | Winner: White (2) | Moves:  48 | Time: 322.8s
[Episode 187] Finished | Winner: Black (1) | Moves:  53 | Time: 305.9s
[Episode 174] Finished | Winner: Black (1) | Moves:  29 | Time: 253.6s
[Episode 193] Finished | Winner: White (2) | Moves:  24 | Time: 190.1s
[Episode 200] Finished | Winner: White (2) | Moves:  28 | Time: 203.6s
[Episode 182] Finished | Winner: White (2) | Moves:  34 | Time: 266.8s
[Episode 175] Finished | Winner: White (2) | Moves:  32 | Time: 260.4s
[Episode 188] Finished | Winner: White (2) | Moves:  58 | Time: 300.8s
[Episode 194] Finished | Winner: White (2) | Moves:  42 | Time: 299.7s
[Episode 189] Finished | Winner: White (2) | Moves:  36 | Time: 238.6s
[Episode 195] Finished | Winner: Black (1) | Moves:  25 | Time: 185.4s
[Episode 196] Finished | Winner: Black (1) | Moves:  51 | Time: 264.6s
----------------------------------------------------------------------
Complete! | Black Wins: 104 | White Wins: 94 | Draws: 2
--- Training Stage (Data 0 -> Model 1) ---
Loaded 6770 training samples.
Train: 6093, Val: 677
Using device: cuda
Resuming from existing checkpoint.
Epoch 1/200 | Step 48 | Val P-Loss: 1.4517 | LR: 0.001000
Epoch 10/200 | Step 480 | Val P-Loss: 1.3453 | LR: 0.000994
Epoch 20/200 | Step 960 | Val P-Loss: 1.3362 | LR: 0.000976
Epoch 30/200 | Step 1440 | Val P-Loss: 1.4219 | LR: 0.000946
Epoch 40/200 | Step 1920 | Val P-Loss: 1.4220 | LR: 0.000905
Epoch 50/200 | Step 2400 | Val P-Loss: 1.4089 | LR: 0.000855
Epoch 60/200 | Step 2880 | Val P-Loss: 1.4346 | LR: 0.000796
Epoch 70/200 | Step 3360 | Val P-Loss: 1.4253 | LR: 0.000730
Epoch 80/200 | Step 3840 | Val P-Loss: 1.4708 | LR: 0.000658
Epoch 90/200 | Step 4320 | Val P-Loss: 1.4525 | LR: 0.000582
Epoch 100/200 | Step 4800 | Val P-Loss: 1.4910 | LR: 0.000505
Epoch 110/200 | Step 5280 | Val P-Loss: 1.5270 | LR: 0.000428
Epoch 120/200 | Step 5760 | Val P-Loss: 1.5003 | LR: 0.000352
Epoch 130/200 | Step 6240 | Val P-Loss: 1.5382 | LR: 0.000280
Epoch 140/200 | Step 6720 | Val P-Loss: 1.5517 | LR: 0.000214
Epoch 150/200 | Step 7200 | Val P-Loss: 1.5577 | LR: 0.000155
Epoch 160/200 | Step 7680 | Val P-Loss: 1.5693 | LR: 0.000105
Epoch 170/200 | Step 8160 | Val P-Loss: 1.5618 | LR: 0.000064
Epoch 180/200 | Step 8640 | Val P-Loss: 1.5775 | LR: 0.000034
Epoch 190/200 | Step 9120 | Val P-Loss: 1.5740 | LR: 0.000016
Epoch 200/200 | Step 9600 | Val P-Loss: 1.5684 | LR: 0.000010
Model saved to checkpoint/gomoku_policy_value_net_1.pth
--- Evaluation Stage (Model 1) ---

==================== Starting Pipeline Iteration 1/10 ====================
--- Self-Play Stage (Model 1 -> Data 1) ---
=== Multi-process Self-Play Start ===
Workers: 8 | Total Episodes: 190 | MCTS Iters: 1900
----------------------------------------------------------------------
[Episode   1] Finished | Winner: White (2) | Moves:  12 | Time:  95.6s
[Episode  43] Finished | Winner: Black (1) | Moves:  27 | Time: 196.2s
[Episode  13] Finished | Winner: Black (1) | Moves:  23 | Time: 215.0s
